"Temp",1,5,10,20,40,60,80,100,200,300,400,500
70.0000,0.0057,0.0287,0.0573,0.1143,0.2277,0.3400,0.4516,0.5623,1.1044,1.6308,nan,nan
80.0000,0.9593,0.0264,0.0528,0.1053,0.2093,0.3122,0.4140,0.5148,1.0061,1.4797,1.9396,2.3879
90.0000,0.9722,0.0251,0.0500,0.0996,0.1975,0.2938,0.3888,0.4826,0.9362,1.3700,1.7890,2.1962
100.0000,0.9798,0.8910,0.0487,0.0966,0.1905,0.2823,0.3720,0.4605,0.8840,1.2852,1.6707,2.0441
120.0000,0.9883,0.9397,0.8732,0.7059,0.1975,0.2822,0.3641,0.4438,0.8188,1.1684,1.5015,1.8223
140.0000,0.9927,0.9635,0.9253,0.8433,0.6376,0.4251,0.4278,0.4799,0.7942,1.0996,1.3920,1.6726
160.0000,0.9952,0.9766,0.9529,0.9042,0.8031,0.7017,0.6304,0.6134,0.8107,1.0708,1.3275,1.5762
180.0000,0.9967,0.9846,0.9690,0.9381,0.8782,0.8125,0.7784,0.7530,0.8550,1.0669,1.2893,1.5105
200.0000,0.9978,0.9897,0.9791,0.9592,0.9212,0.8882,0.8621,0.8455,0.9067,1.0760,1.2683,1.4631
250.0000,0.9992,0.9960,0.9924,0.9857,0.9741,0.9655,0.9604,0.9589,1.0048,1.1143,1.2501,1.3962
300.0000,0.9998,0.9990,0.9983,0.9971,0.9964,0.9973,1.0000,1.0052,1.0559,1.1422,1.2480,1.3629
350.0000,1.0001,1.0007,1.0011,1.0029,1.0069,1.0125,1.0189,1.0271,1.0810,1.1560,1.2445,1.3405
400.0000,1.0002,1.0011,1.0024,1.0057,1.0125,1.0199,1.0283,1.0377,1.0926,1.1609,1.2382,1.3216
450.0000,1.0003,1.0018,1.0033,1.0073,1.0153,1.0238,1.0332,1.0430,1.0973,1.1606,1.2303,1.3043
500.0000,1.0004,1.0020,1.0040,1.0081,1.0167,1.0257,1.0350,1.0451,1.0984,1.1575,1.2213,1.2881
600.0000,1.0004,1.0021,1.0040,1.0084,1.0173,1.0263,1.0355,1.0450,1.0951,1.1540,1.2028,1.2657
800.0000,1.0004,1.0017,1.0036,1.0074,1.0157,1.0237,1.0320,1.0402,1.0832,1.1264,1.1701,1.2140
1000.0000,1.0003,1.0015,1.0034,1.0067,1.0136,1.0205,1.0275,1.0347,1.0714,1.1078,1.1449,1.1814
