Temp,1,5,10,15,20,25,30,40,50,60,80,100,150,200,250,300,400,500,600,800,1000
400.0,0.99,0.003,0.006,0.009,0.012,0.014,0.017,0.023,0.029,0.035,0.046,0.058,0.086,0.114,0.143,0.171,0.227,0.282,0.336,0.445,0.552
450.0,0.993,0.003,0.006,0.009,0.012,0.014,0.016,0.022,0.027,0.033,0.043,0.054,0.08,0.107,0.134,0.159,0.206,0.255,0.304,0.402,0.498
500.0,0.996,0.98,0.958,0.93,0.901,0.878,0.016,0.021,0.026,0.031,0.042,0.052,0.077,0.102,0.127,0.152,0.201,0.249,0.297,0.39,0.482
550.0,0.997,0.985,0.969,0.956,0.939,0.922,0.904,0.865,0.822,0.773,0.042,0.052,0.077,0.102,0.126,0.15,0.181,0.198,0.289,0.378,0.464
600.0,0.998,0.99,0.979,0.97,0.961,0.948,0.935,0.91,0.885,0.858,0.798,0.726,0.082,0.107,0.131,0.155,0.201,0.246,0.29,0.375,0.457
650.0,0.999,0.992,0.984,0.977,0.968,0.959,0.958,0.937,0.919,0.902,0.864,0.824,0.702,0.514,0.177,0.183,0.221,0.26,0.303,0.383,0.46
700.0,1.0,0.994,0.988,0.984,0.976,0.967,0.966,0.952,0.941,0.929,0.9,0.876,0.8,0.716,0.618,0.503,0.326,0.316,0.34,0.406,0.476
750.0,1.0,0.996,0.991,0.988,0.981,0.975,0.971,0.961,0.955,0.945,0.927,0.907,0.856,0.801,0.743,0.682,0.557,0.465,0.435,0.456,0.509
800.0,1.0,0.997,0.993,0.991,0.985,0.982,0.976,0.97,0.966,0.957,0.945,0.929,0.892,0.853,0.813,0.773,0.693,0.62,0.568,0.538,0.561
850.0,1.0,0.997,0.995,0.992,0.989,0.984,0.981,0.977,0.973,0.967,0.957,0.946,0.917,0.889,0.86,0.831,0.775,0.715,0.679,0.631,0.629
900.0,1.0,0.998,0.997,0.993,0.992,0.989,0.986,0.982,0.979,0.974,0.965,0.958,0.936,0.915,0.893,0.872,0.83,0.792,0.76,0.714,0.7
950.0,1.0,0.998,0.997,0.994,0.994,0.993,0.991,0.985,0.983,0.98,0.973,0.967,0.95,0.933,0.916,0.901,0.867,0.839,0.816,0.78,0.761
1000.0,1.0,0.999,0.998,0.995,0.995,0.994,0.993,0.99,0.987,0.985,0.978,0.973,0.96,0.948,0.935,0.923,0.9,0.878,0.859,0.831,0.816
1200.0,1.0,1.0,0.999,0.998,0.998,0.997,0.997,0.995,0.994,0.994,0.992,0.99,0.986,0.982,0.975,0.968,0.961,0.957,0.949,0.942,0.937
1400.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.998,0.998,0.998,0.997,0.996,0.995,0.995,0.994,0.993,0.992,0.994,0.996,0.998
1600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.001,1.002,1.002,1.004,1.006,1.009,1.012,1.015,1.02
1800.0,1.001,1.001,1.001,1.0,1.0,1.0,1.0,1.0,1.0,1.001,1.002,1.003,1.003,1.004,1.005,1.008,1.011,1.014,1.017,1.021,1.031
2000.0,1.003,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.003,1.003,1.004,1.004,1.006,1.008,1.011,1.014,1.018,1.021,1.032,1.043
